test_id	ncbi_gene_link	gene_symbol	gene_id	gene_desc	locus	sample_1	sample_2	status	value_1	value_2	log2(fold_change)	test_stat	p_value	q_value	significant	linear_fold_change	"diff_exp
Hist2h3c2	Hist2h3c2	Hist2h3c2	97114	"histone cluster 2, H3c2"	chr3:96238107-96239127	pomc	nonpomc	OK	0.065	1.060	4.033	3.072	5.25E-03	7.64E-03	yes	16.365	Yes
Gsc	Gsc	Gsc	14836	goosecoid homeobox	chr12:104471208-104473236	pomc	nonpomc	OK	0.039	0.633	4.030	2.370	2.33E-02	3.14E-02	yes	16.337	Yes
Atp5e	Atp5e	Atp5e	67126	"ATP synthase, H+ transporting, mitochondrial F1 complex, epsilon subunit"	chr2:174461074-174464101	pomc	nonpomc	OK	40.510	570.255	3.815	16.325	5.00E-05	8.69E-05	yes	14.077	Yes
Oxt	Oxt	Oxt	18429	oxytocin	chr2:130576172-130576988	pomc	nonpomc	OK	21.248	298.576	3.813	14.874	5.00E-05	8.69E-05	yes	14.052	Yes
AA465934	AA465934	AA465934	613254	expressed sequence AA465934	chr11:83291698-83298977	pomc	nonpomc	OK	9.825	136.559	3.797	6.372	5.00E-05	8.69E-05	yes	13.899	Yes
Mir3091	Mir3091	Mir3091	100526556	microRNA 3091	chr2:180257535-180257611	pomc	nonpomc	OK	28.462	395.123	3.795	5.766	3.12E-02	4.14E-02	yes	13.882	Yes
C8g	C8g	C8g	69379	"complement component 8, gamma polypeptide"	chr2:25498655-25500506	pomc	nonpomc	OK	0.120	1.496	3.644	2.929	9.00E-04	1.42E-03	yes	12.501	Yes
Ifitm1	Ifitm1	Ifitm1	68713	interferon induced transmembrane protein 1	chr7:140967428-140969827	pomc	nonpomc	OK	0.710	8.705	3.615	5.029	5.00E-05	8.69E-05	yes	12.255	Yes
Polr2f	Polr2f	Polr2f	69833	polymerase (RNA) II (DNA directed) polypeptide F	chr15:79141366-79151767	pomc	nonpomc	OK	13.471	164.189	3.607	14.521	5.00E-05	8.69E-05	yes	12.188	Yes
Pdlim2	Pdlim2	Pdlim2	213019	PDZ and LIM domain 2	chr14:70164217-70177672	pomc	nonpomc	OK	1.390	16.907	3.604	11.285	5.00E-05	8.69E-05	yes	12.161	Yes
1500012F01Rik	1500012F01Rik	1500012F01Rik	.	.	chr2:167035796-167065862	pomc	nonpomc	OK	11.811	142.329	3.591	6.838	5.00E-05	8.69E-05	yes	12.051	Yes
Twist2	Twist2	Twist2	13345	twist basic helix-loop-helix transcription factor 2	chr1:91801476-91848027	pomc	nonpomc	OK	0.083	0.986	3.576	3.004	2.50E-04	4.13E-04	yes	11.928	Yes
Prtn3	Prtn3	Prtn3	19152	proteinase 3	chr10:79697304-80369637	pomc	nonpomc	OK	0.263	3.094	3.555	0.216	9.15E-03	1.30E-02	yes	11.752	Yes
Rprml	Rprml	Rprml	104582	reprimo-like	chr11:103649508-103650580	pomc	nonpomc	OK	1.619	18.679	3.528	11.356	5.00E-05	8.69E-05	yes	11.536	Yes
Ndufa4	Ndufa4	Ndufa4	17992	"NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 4"	chr6:11900372-11907446	pomc	nonpomc	OK	86.689	990.184	3.514	16.785	5.00E-05	8.69E-05	yes	11.422	Yes
Gm5801	Gm5801	Gm5801	545056	"ubiquitin-conjugating enzyme E2, J2 homolog pseudogene"	chr4:155943830-155959604	pomc	nonpomc	OK	0.050	0.567	3.510	1.782	3.59E-02	4.72E-02	yes	11.391	Yes
Cxx1b	Cxx1b	Cxx1b	553127	CAAX box 1B	chrX:53669176-53670408	pomc	nonpomc	OK	5.982	66.393	3.472	15.157	5.00E-05	8.69E-05	yes	11.099	Yes
1110065P20Rik	1110065P20Rik	1110065P20Rik	68920	RIKEN cDNA 1110065P20 gene	chr4:124802548-124850730	pomc	nonpomc	OK	8.889	98.519	3.470	9.983	5.00E-05	8.69E-05	yes	11.084	Yes
Slpi	Slpi	Slpi	20568	secretory leukocyte peptidase inhibitor	chr2:164354069-164356507	pomc	nonpomc	OK	0.083	0.924	3.470	2.001	5.65E-03	8.19E-03	yes	11.079	Yes
Gm6607	Gm6607	Gm6607	625603	40S ribosomal protein S20 pseudogene	chr9:22055459-22389206	pomc	nonpomc	OK	8.479	93.227	3.459	2.754	2.50E-04	4.13E-04	yes	10.995	Yes
Snrpg	Snrpg	Snrpg	68011	small nuclear ribonucleoprotein polypeptide G	chr6:86371539-86378902	pomc	nonpomc	OK	14.490	158.849	3.455	10.961	5.00E-05	8.69E-05	yes	10.962	Yes
Slamf9	Slamf9	Slamf9	98365	SLAM family member 9	chr1:172475359-172478409	pomc	nonpomc	OK	0.057	0.624	3.443	1.881	3.22E-02	4.26E-02	yes	10.879	Yes
Ndufb6	Ndufb6	Ndufb6	230075	"NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 6"	chr4:40270662-40279368	pomc	nonpomc	OK	32.332	350.432	3.438	15.247	5.00E-05	8.69E-05	yes	10.839	Yes
Mt3	Mt3	Mt3	17751	metallothionein 3	chr8:94152606-94154148	pomc	nonpomc	OK	88.525	953.261	3.429	17.504	5.00E-05	8.69E-05	yes	10.768	Yes
Rnf5	Rnf5	Rnf5	54197	ring finger protein 5	chr17:34601098-34603561	pomc	nonpomc	OK	10.651	110.116	3.370	15.980	5.00E-05	8.69E-05	yes	10.339	Yes
1110001J03Rik	1110001J03Rik	1110001J03Rik	.	.	chr6:38534860-38539449	pomc	nonpomc	OK	12.263	124.225	3.341	10.845	5.00E-05	8.69E-05	yes	10.130	Yes
2610019E17Rik	2610019E17Rik	2610019E17Rik	.	.	chr17:24528250-24528744	pomc	nonpomc	OK	4.942	50.041	3.340	4.560	5.00E-05	8.69E-05	yes	10.126	Yes
Mxd3	Mxd3	Mxd3	17121	Max dimerization protein 3	chr13:55322054-55329730	pomc	nonpomc	OK	0.570	5.763	3.337	2.141	1.30E-02	1.81E-02	yes	10.105	Yes
Nudt11	Nudt11	Nudt11	58242	nudix (nucleoside diphosphate linked moiety X)-type motif 11	chrX:6047506-6054751	pomc	nonpomc	OK	5.917	59.587	3.332	16.651	5.00E-05	8.69E-05	yes	10.070	Yes
Hbb-b1	"Hbb-b1,Hbb-b2"	"Hbb-b1,Hbb-b2"	.	.	chr7:103812523-103813923	pomc	nonpomc	OK	0.589	5.898	3.324	2.438	3.80E-03	5.61E-03	yes	10.016	Yes
Tmem160	Tmem160	Tmem160	69094	transmembrane protein 160	chr7:16452778-16455490	pomc	nonpomc	OK	5.136	51.436	3.324	12.846	5.00E-05	8.69E-05	yes	10.015	Yes
Banf1	Banf1	Banf1	23825	barrier to autointegration factor 1	chr19:5364639-5366645	pomc	nonpomc	OK	9.710	96.738	3.317	12.926	5.00E-05	8.69E-05	yes	9.962	Yes
Gchfr	Gchfr	Gchfr	320415	GTP cyclohydrolase I feedback regulator	chr2:119167787-119172389	pomc	nonpomc	OK	0.335	3.311	3.307	3.281	5.00E-05	8.69E-05	yes	9.898	Yes
1500009C09Rik	1500009C09Rik	1500009C09Rik	76505	RIKEN cDNA 1500009C09 gene	chr15:82252396-82260753	pomc	nonpomc	OK	13.757	135.690	3.302	16.410	5.00E-05	8.69E-05	yes	9.863	Yes
Ppp1r3g	Ppp1r3g	Ppp1r3g	76487	"protein phosphatase 1, regulatory (inhibitor) subunit 3G"	chr13:35967905-35970388	pomc	nonpomc	OK	0.102	1.001	3.298	4.056	5.00E-05	8.69E-05	yes	9.838	Yes
Sft2d1	Sft2d1	Sft2d1	106489	SFT2 domain containing 1	chr17:8311102-8327442	pomc	nonpomc	OK	4.442	43.536	3.293	10.564	5.00E-05	8.69E-05	yes	9.802	Yes
A230065H16Rik	A230065H16Rik	A230065H16Rik	380787	RIKEN cDNA A230065H16 gene	chr12:111406808-111412077	pomc	nonpomc	OK	4.944	48.137	3.283	11.157	5.00E-05	8.69E-05	yes	9.736	Yes
Ndufa1	Ndufa1	Ndufa1	54405	"NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 1"	chrX:37187588-37191238	pomc	nonpomc	OK	28.619	275.465	3.267	14.520	5.00E-05	8.69E-05	yes	9.625	Yes
Atox1	Atox1	Atox1	11927	antioxidant 1 copper chaperone	chr11:55446642-55461138	pomc	nonpomc	OK	17.724	169.952	3.261	11.529	5.00E-05	8.69E-05	yes	9.589	Yes
1810006K21Rik	1810006K21Rik	1810006K21Rik	.	.	chr19:10204201-10207824	pomc	nonpomc	OK	12.425	116.978	3.235	9.334	5.00E-05	8.69E-05	yes	9.415	Yes
Krt1	Krt1	Krt1	16678	keratin 1	chr15:101845425-101850786	pomc	nonpomc	OK	1.573	14.788	3.233	11.421	5.00E-05	8.69E-05	yes	9.400	Yes
Rabac1	Rabac1	Rabac1	14470	Rab acceptor 1 (prenylated)	chr7:24969749-24972728	pomc	nonpomc	OK	24.057	225.178	3.227	16.450	5.00E-05	8.69E-05	yes	9.360	Yes
Cd79a	Cd79a	Cd79a	12518	CD79A antigen (immunoglobulin-associated alpha)	chr7:24897510-24902197	pomc	nonpomc	OK	0.101	0.922	3.195	2.728	1.10E-03	1.72E-03	yes	9.156	Yes
S100a16	S100a16	S100a16	67860	S100 calcium binding protein A16	chr3:90541222-90543151	pomc	nonpomc	OK	7.847	71.805	3.194	13.494	5.00E-05	8.69E-05	yes	9.151	Yes
Gm561	Gm561	Gm561	228715	predicted gene 561	chr2:144594064-144595365	pomc	nonpomc	OK	11.737	107.397	3.194	9.422	5.00E-05	8.69E-05	yes	9.150	Yes
Ctxn2	Ctxn2	Ctxn2	381418	cortexin 2	chr2:125136691-125147841	pomc	nonpomc	OK	7.163	64.858	3.179	11.769	5.00E-05	8.69E-05	yes	9.055	Yes
Sf3b5	Sf3b5	Sf3b5	66125	"splicing factor 3b, subunit 5"	chr10:13008449-13009183	pomc	nonpomc	OK	10.908	97.342	3.158	14.416	5.00E-05	8.69E-05	yes	8.924	Yes
Mfap5	Mfap5	Mfap5	50530	microfibrillar associated protein 5	chr6:122513675-122529287	pomc	nonpomc	OK	0.056	0.497	3.144	1.839	3.61E-02	4.75E-02	yes	8.842	Yes
2400009B08Rik	2400009B08Rik	2400009B08Rik	.	.	chr8:3671184-3672321	pomc	nonpomc	OK	1.900	16.796	3.144	4.191	5.00E-05	8.69E-05	yes	8.840	Yes
Chchd2	Chchd2	Chchd2	14004	coiled-coil-helix-coiled-coil-helix domain containing 2	chr5:129881160-129887470	pomc	nonpomc	OK	34.449	302.807	3.136	16.173	5.00E-05	8.69E-05	yes	8.790	Yes
Acbd7	Acbd7	Acbd7	78245	acyl-Coenzyme A binding domain containing 7	chr2:3336167-3340997	pomc	nonpomc	OK	0.377	3.295	3.127	2.975	9.50E-04	1.49E-03	yes	8.736	Yes
Efcab10	Efcab10	Efcab10	75040	EF-hand calcium binding domain 10	chr12:33394853-33401269	pomc	nonpomc	OK	1.377	12.025	3.126	5.399	5.00E-05	8.69E-05	yes	8.731	Yes
Timm13	Timm13	Timm13	30055	translocase of inner mitochondrial membrane 13	chr10:80879815-80900969	pomc	nonpomc	OK	9.209	80.371	3.126	14.491	5.00E-05	8.69E-05	yes	8.728	Yes
Morn5	Morn5	Morn5	75495	MORN repeat containing 5	chr2:36049472-36079709	pomc	nonpomc	OK	0.218	1.884	3.113	2.670	1.85E-03	2.82E-03	yes	8.651	Yes
Mt2	Mt2	Mt2	17750	metallothionein 2	chr8:94172617-94173567	pomc	nonpomc	OK	43.018	370.120	3.105	15.382	5.00E-05	8.69E-05	yes	8.604	Yes
2810405K02Rik	2810405K02Rik	2810405K02Rik	.	.	chr4:154896429-154899043	pomc	nonpomc	OK	23.707	203.951	3.105	14.768	5.00E-05	8.69E-05	yes	8.603	Yes
Bax	Bax	Bax	12028	BCL2-associated X protein	chr7:45461694-45466898	pomc	nonpomc	OK	6.624	56.977	3.105	12.761	5.00E-05	8.69E-05	yes	8.601	Yes
Sla2	Sla2	Sla2	77799	Src-like-adaptor 2	chr2:156863121-156887078	pomc	nonpomc	OK	1.088	9.304	3.096	6.609	5.00E-05	8.69E-05	yes	8.553	Yes
Gng5	Gng5	Gng5	14707	"guanine nucleotide binding protein (G protein), gamma 5"	chr3:146499835-146505543	pomc	nonpomc	OK	10.559	90.289	3.096	10.661	5.00E-05	8.69E-05	yes	8.551	Yes
Ngb	Ngb	Ngb	64242	neuroglobin	chr12:87097530-87102539	pomc	nonpomc	OK	12.733	108.847	3.096	15.600	5.00E-05	8.69E-05	yes	8.549	Yes
Rprm	Rprm	Rprm	67874	"reprimo, TP53 dependent G2 arrest mediator candidate"	chr2:54084092-54085552	pomc	nonpomc	OK	9.249	78.558	3.086	14.901	5.00E-05	8.69E-05	yes	8.494	Yes
Rln3	Rln3	Rln3	212108	relaxin 3	chr8:84043066-84044979	pomc	nonpomc	OK	0.163	1.379	3.084	1.695	3.50E-02	4.61E-02	yes	8.481	Yes
Pebp1	Pebp1	Pebp1	23980	phosphatidylethanolamine binding protein 1	chr5:117282650-117287564	pomc	nonpomc	OK	78.495	665.585	3.084	16.030	5.00E-05	8.69E-05	yes	8.479	Yes
Cox7a1	Cox7a1	Cox7a1	12865	cytochrome c oxidase subunit VIIa 1	chr7:30184170-30186030	pomc	nonpomc	OK	2.707	22.951	3.084	5.076	5.00E-05	8.69E-05	yes	8.478	Yes
Fbxo2	Fbxo2	Fbxo2	230904	F-box protein 2	chr4:148160667-148166417	pomc	nonpomc	OK	13.828	116.694	3.077	16.231	5.00E-05	8.69E-05	yes	8.439	Yes
Imp3	Imp3	Imp3	102462	"IMP3, U3 small nucleolar ribonucleoprotein"	chr9:56937499-56938398	pomc	nonpomc	OK	9.952	83.604	3.070	13.512	5.00E-05	8.69E-05	yes	8.401	Yes
Cdkn2c	Cdkn2c	Cdkn2c	12580	"cyclin-dependent kinase inhibitor 2C (p18, inhibits CDK4)"	chr4:109660875-109665372	pomc	nonpomc	OK	0.141	1.185	3.070	2.624	6.90E-03	9.91E-03	yes	8.396	Yes
Inmt	Inmt	Inmt	21743	indolethylamine N-methyltransferase	chr6:55170626-55174990	pomc	nonpomc	OK	0.322	2.700	3.067	3.718	5.00E-05	8.69E-05	yes	8.378	Yes
1810044D09Rik	1810044D09Rik	1810044D09Rik	69798	RIKEN cDNA 1810044D09 gene	chr6:91440986-91441755	pomc	nonpomc	OK	0.488	4.088	3.065	2.891	4.00E-04	6.49E-04	yes	8.371	Yes
Gng13	Gng13	Gng13	64337	"guanine nucleotide binding protein (G protein), gamma 13"	chr17:25717171-25727415	pomc	nonpomc	OK	5.705	47.645	3.062	6.191	5.00E-05	8.69E-05	yes	8.352	Yes
Dnajb3	Dnajb3	Dnajb3	15504	DnaJ heat shock protein family (Hsp40) member B3	chr1:88055410-88220002	pomc	nonpomc	OK	0.541	4.521	3.062	4.999	5.00E-05	8.69E-05	yes	8.351	Yes
2810432D09Rik	2810432D09Rik	2810432D09Rik	.	.	chr4:41712032-41713517	pomc	nonpomc	OK	4.072	33.972	3.061	10.133	5.00E-05	8.69E-05	yes	8.344	Yes
Atp5g2	Atp5g2	Atp5g2	67942	"ATP synthase, H+ transporting, mitochondrial F0 complex, subunit C2 (subunit 9)"	chr15:102662867-102671047	pomc	nonpomc	OK	46.258	384.511	3.055	14.701	5.00E-05	8.69E-05	yes	8.312	Yes
Lsm10	Lsm10	Lsm10	116748	U7 snRNP-specific Sm-like protein LSM10	chr4:126096652-126098584	pomc	nonpomc	OK	1.871	15.482	3.049	7.170	5.00E-05	8.69E-05	yes	8.277	Yes
2310016M24Rik	2310016M24Rik	2310016M24Rik	.	.	chr15:99725617-99728136	pomc	nonpomc	OK	19.394	160.510	3.049	14.303	5.00E-05	8.69E-05	yes	8.276	Yes
Psmb5	Psmb5	Psmb5	19173	"proteasome (prosome, macropain) subunit, beta type 5"	chr14:54614119-54617995	pomc	nonpomc	OK	30.336	249.442	3.040	15.292	5.00E-05	8.69E-05	yes	8.223	Yes
Vamp8	Vamp8	Vamp8	22320	vesicle-associated membrane protein 8	chr6:72385220-72390667	pomc	nonpomc	OK	1.703	13.973	3.036	6.893	5.00E-05	8.69E-05	yes	8.203	Yes
2010107G23Rik	2010107G23Rik	2010107G23Rik	69894	RIKEN cDNA 2010107G23 gene	chr10:62107655-62111013	pomc	nonpomc	OK	3.712	30.433	3.035	11.797	5.00E-05	8.69E-05	yes	8.198	Yes
Bmyc	Bmyc	Bmyc	107771	brain expressed myelocytomatosis oncogene	chr2:25706878-25707719	pomc	nonpomc	OK	15.063	123.427	3.035	15.211	5.00E-05	8.69E-05	yes	8.194	Yes
Crb3	Crb3	Crb3	224912	crumbs family member 3	chr17:57062276-57065914	pomc	nonpomc	OK	0.086	0.701	3.031	2.279	2.00E-03	3.03E-03	yes	8.171	Yes
Lhx3	Lhx3	Lhx3	16871	LIM homeobox protein 3	chr2:26200211-26206556	pomc	nonpomc	OK	0.057	0.463	3.025	2.934	1.00E-04	1.70E-04	yes	8.141	Yes
Ap1s1	Ap1s1	Ap1s1	11769	"adaptor protein complex AP-1, sigma 1"	chr5:137034993-137046060	pomc	nonpomc	OK	26.575	216.131	3.024	15.648	5.00E-05	8.69E-05	yes	8.133	Yes
Crybb1	Crybb1	Crybb1	12960	"crystallin, beta B1"	chr5:112255820-112269582	pomc	nonpomc	OK	0.178	1.445	3.022	2.566	1.50E-04	2.52E-04	yes	8.125	Yes
Eif6	Eif6	Eif6	16418	eukaryotic translation initiation factor 6	chr2:155819836-155826925	pomc	nonpomc	OK	6.728	54.499	3.018	14.185	5.00E-05	8.69E-05	yes	8.101	Yes
Mthfs	Mthfs	Mthfs	107885	"5, 10-methenyltetrahydrofolate synthetase"	chr9:89211189-89240225	pomc	nonpomc	OK	0.313	2.523	3.009	3.117	5.00E-05	8.69E-05	yes	8.051	Yes
Polr2d	Polr2d	Polr2d	69241	polymerase (RNA) II (DNA directed) polypeptide D	chr18:31789158-31796701	pomc	nonpomc	OK	5.218	41.977	3.008	10.422	5.00E-05	8.69E-05	yes	8.044	Yes
Tmem147	Tmem147	Tmem147	69804	transmembrane protein 147	chr7:30727700-30729534	pomc	nonpomc	OK	10.191	81.557	3.001	12.205	5.00E-05	8.69E-05	yes	8.003	Yes
Avp	Avp	Avp	11998	arginine vasopressin	chr2:130580676-130582541	pomc	nonpomc	OK	53.881	429.649	2.995	14.283	5.00E-05	8.69E-05	yes	7.974	Yes
Ndufb3	Ndufb3	Ndufb3	66495	NADH dehydrogenase (ubiquinone) 1 beta subcomplex 3	chr1:58586598-58595948	pomc	nonpomc	OK	44.132	351.201	2.992	13.481	5.00E-05	8.69E-05	yes	7.958	Yes
Enho	Enho	Enho	69638	energy homeostasis associated	chr4:41569793-41640302	pomc	nonpomc	OK	9.230	73.273	2.989	13.879	5.00E-05	8.69E-05	yes	7.939	Yes
Snrpd2	Snrpd2	Snrpd2	107686	small nuclear ribonucleoprotein D2	chr7:19149837-19152726	pomc	nonpomc	OK	41.370	328.169	2.988	13.789	5.00E-05	8.69E-05	yes	7.932	Yes
Ctxn1	Ctxn1	Ctxn1	330695	cortexin 1	chr8:4257645-4259274	pomc	nonpomc	OK	30.079	237.491	2.981	16.336	5.00E-05	8.69E-05	yes	7.896	Yes
4930452G13Rik	4930452G13Rik	4930452G13Rik	73989	RIKEN cDNA 4930452G13 gene	chr14:79702919-79712930	pomc	nonpomc	OK	0.181	1.417	2.972	2.701	3.50E-04	5.71E-04	yes	7.848	Yes
Cldn26	Cldn26	Cldn26	.	.	chr16:8409275-8425136	pomc	nonpomc	OK	0.476	3.726	2.969	6.252	5.00E-05	8.69E-05	yes	7.832	Yes
Eme1	Eme1	Eme1	268465	essential meiotic structure-specific endonuclease 1	chr11:94629823-94653754	pomc	nonpomc	OK	0.263	2.057	2.966	1.761	1.69E-02	2.31E-02	yes	7.813	Yes
Frat2	Frat2	Frat2	212398	frequently rearranged in advanced T cell lymphomas 2	chr19:41845975-41848132	pomc	nonpomc	OK	0.592	4.604	2.959	8.686	5.00E-05	8.69E-05	yes	7.778	Yes
Snhg3	Snhg3	Snhg3	399101	small nucleolar RNA host gene 3	chr4:132351932-132353686	pomc	nonpomc	OK	5.527	42.950	2.958	5.782	5.00E-05	8.69E-05	yes	7.771	Yes
Esrra	Esrra	Esrra	26379	"estrogen related receptor, alpha"	chr19:6909697-6921808	pomc	nonpomc	OK	3.200	24.864	2.958	7.637	5.00E-05	8.69E-05	yes	7.770	Yes
Gm15421	Gm15421	Gm15421	100042049	ribosomal protein L22 like 1 pseudogene	chr5:22486488-22550331	pomc	nonpomc	OK	50.166	389.618	2.957	11.662	5.00E-05	8.69E-05	yes	7.767	Yes
Deb1	Deb1	Deb1	26901	differentially expressed in B16F10 1	chr9:121710388-121712921	pomc	nonpomc	OK	15.790	122.436	2.955	10.614	5.00E-05	8.69E-05	yes	7.754	Yes
0910001L09Rik	0910001L09Rik	0910001L09Rik	.	.	chr5:138255481-138259395	pomc	nonpomc	OK	6.991	54.196	2.955	12.583	5.00E-05	8.69E-05	yes	7.752	Yes
Nxnl2	Nxnl2	Nxnl2	75124	nucleoredoxin-like 2	chr13:51171024-51175187	pomc	nonpomc	OK	0.217	1.674	2.944	4.014	5.00E-05	8.69E-05	yes	7.696	Yes
1500015O10Rik	1500015O10Rik	1500015O10Rik	78896	RIKEN cDNA 1500015O10 gene	chr1:43730601-43742564	pomc	nonpomc	OK	0.124	0.951	2.944	2.218	1.12E-02	1.57E-02	yes	7.695	Yes
Tmem37	Tmem37	Tmem37	170706	transmembrane protein 37	chr1:120067376-120073780	pomc	nonpomc	OK	0.083	0.639	2.944	1.930	1.12E-02	1.57E-02	yes	7.693	Yes
Cdca3	Cdca3	Cdca3	14793	cell division cycle associated 3	chr6:124830175-124833701	pomc	nonpomc	OK	0.100	0.769	2.939	2.575	2.50E-04	4.13E-04	yes	7.668	Yes
Gstt1	Gstt1	Gstt1	14871	"glutathione S-transferase, theta 1"	chr10:75783812-75798584	pomc	nonpomc	OK	3.165	24.253	2.938	8.913	5.00E-05	8.69E-05	yes	7.662	Yes
Dcxr	Dcxr	Dcxr	67880	dicarbonyl L-xylulose reductase	chr11:120725372-120727281	pomc	nonpomc	OK	1.297	9.939	2.938	7.077	5.00E-05	8.69E-05	yes	7.661	Yes
Ppp1r35	Ppp1r35	Ppp1r35	69871	"protein phosphatase 1, regulatory subunit 35"	chr5:137778917-137780107	pomc	nonpomc	OK	3.690	27.979	2.923	11.301	5.00E-05	8.69E-05	yes	7.583	Yes
Cox6a1	Cox6a1	Cox6a1	12861	cytochrome c oxidase subunit VIa polypeptide 1	chr5:115345653-115348955	pomc	nonpomc	OK	112.931	852.779	2.917	15.937	5.00E-05	8.69E-05	yes	7.551	Yes
2310047M10Rik	2310047M10Rik	2310047M10Rik	.	.	chr11:69059774-69061576	pomc	nonpomc	OK	4.269	32.113	2.911	14.213	5.00E-05	8.69E-05	yes	7.522	Yes
Rnf7	Rnf7	Rnf7	19823	ring finger protein 7	chr9:96470956-96478595	pomc	nonpomc	OK	22.559	169.307	2.908	14.264	5.00E-05	8.69E-05	yes	7.505	Yes
Rnd2	Rnd2	Rnd2	11858	Rho family GTPase 2	chr11:101468337-101471306	pomc	nonpomc	OK	55.799	416.575	2.900	14.630	5.00E-05	8.69E-05	yes	7.466	Yes
Bola2	Bola2	Bola2	66162	bolA-like 2 (E. coli)	chr7:126695999-126696693	pomc	nonpomc	OK	32.140	239.940	2.900	10.904	5.00E-05	8.69E-05	yes	7.466	Yes
Trappc6a	Trappc6a	Trappc6a	67091	trafficking protein particle complex 6A	chr7:19508728-19516145	pomc	nonpomc	OK	2.153	16.061	2.899	7.580	5.00E-05	8.69E-05	yes	7.462	Yes
Atp5g1	Atp5g1	Atp5g1	11951	"ATP synthase, H+ transporting, mitochondrial F0 complex, subunit C1 (subunit 9)"	chr11:96072792-96075694	pomc	nonpomc	OK	45.769	340.630	2.896	14.834	5.00E-05	8.69E-05	yes	7.442	Yes
Psmb4	Psmb4	Psmb4	19172	"proteasome (prosome, macropain) subunit, beta type 4"	chr3:94884323-94886958	pomc	nonpomc	OK	51.795	384.698	2.893	15.194	5.00E-05	8.69E-05	yes	7.427	Yes
Lin7b	Lin7b	Lin7b	22342	lin-7 homolog B (C. elegans)	chr7:45339125-45370564	pomc	nonpomc	OK	9.653	71.421	2.887	4.156	5.00E-05	8.69E-05	yes	7.399	Yes
BC017612	BC017612	BC017612	.	.	chr9:15505494-15545259	pomc	nonpomc	OK	1.056	7.787	2.882	7.708	5.00E-05	8.69E-05	yes	7.371	Yes
BC039966	BC039966	BC039966	407793	cDNA sequence BC039966	chr4:153948454-153950476	pomc	nonpomc	OK	1.817	13.374	2.880	5.067	5.00E-05	8.69E-05	yes	7.363	Yes
AI413582	AI413582	AI413582	106672	expressed sequence AI413582	chr17:27563768-27565727	pomc	nonpomc	OK	12.395	91.159	2.879	11.806	5.00E-05	8.69E-05	yes	7.355	Yes
Nrtn	Nrtn	Nrtn	18188	neurturin	chr17:56751324-56757530	pomc	nonpomc	OK	0.540	3.970	2.877	6.160	5.00E-05	8.69E-05	yes	7.347	Yes
1500032L24Rik	1500032L24Rik	1500032L24Rik	.	.	chr15:82346045-82349062	pomc	nonpomc	OK	50.504	370.865	2.876	15.064	5.00E-05	8.69E-05	yes	7.343	Yes
Bok	Bok	Bok	51800	BCL2-related ovarian killer	chr1:93685693-93695762	pomc	nonpomc	OK	3.967	29.123	2.876	12.059	5.00E-05	8.69E-05	yes	7.342	Yes
Ccdc56	Ccdc56	Ccdc56	.	.	chr11:101277969-101278948	pomc	nonpomc	OK	27.712	203.029	2.873	13.593	5.00E-05	8.69E-05	yes	7.326	Yes
